"Journal","Field","Publisher","Publisher type","Business model","Institution","Institution type","Website","APC €uros","Scimago Rank","PCI partner"
"Journal of Wildlife Management","ecology","Wiley","For-profit","hybrid","The Wildlife Society","Society","https://wildlife.onlinelibrary.wiley.com/journal/19372817?tabActivePane=undefined","3400","0.87","none"
"Knowledge and Management of Aquatic Ecosystems","ecology","EDP Science","For-profit","diamond_OA","Office Francais de la Biodiversite","Uni/Gov","https://www.kmae-journal.org/","0","0.41","none"
"Management of Biological Invasions","ecology","Regional Euro-Asian Biological Invasions Center","For-profit","OA","International Association for Open Knowledge on Invasive Alien Species","Non-profit","https://www.reabic.net/journals/mbi/Default.aspx","1120","0.49","none"
"Natural Areas Journal","ecology","Natural Areas Association","Non-profit","hybrid","Natural Areas Association","Non-profit","https://naturalareas.org/submissions.php","3673","0.3","none"
"NeoBiota","ecology","Pensoft","For-profit","OA","Neobiota - the European Group on Biological Invasions","Society","https://neobiota.pensoft.net/","950","1.21","none"
"Perspectives in Ecology and Conservation","ecology","Elsevier","For-profit","diamond_OA","Brazilian Association for Ecological Science and Conservation","Non-profit","https://www.sciencedirect.com/journal/perspectives-in-ecology-and-conservation","0","1.54","none"
"Primate Conservation","ecology","Conservation International","Non-profit","diamond_OA","Conservation International","Society","http://www.primate-sg.org/primate_conservation/","0","0.32","none"
"Remote Sensing in Ecology and Conservation","ecology","Wiley","For-profit","OA","Zoological Society of London","Society","https://zslpublications.onlinelibrary.wiley.com/journal/20563485","2640","1.37","none"
"Restoration Ecology","ecology","Wiley","For-profit","hybrid","Society for Ecological Restoration","Society","https://onlinelibrary.wiley.com/journal/1526100x","2750","1.24","none"
"Wildlife Biology","ecology","Wiley","For-profit","OA","Nordic Society Oikos","Society","https://onlinelibrary.wiley.com/journal/1903220x","2000","0.62","none"
"Wildlife Research","ecology","CSIRO publishing","Non-profit","hybrid","Commonwealth Scientific and Industrial Research Organisation","Uni/Gov","https://www.publish.csiro.au/wr/AbouttheJournal","2500","0.73","none"
"Wildlife Society Bulletin","ecology","Wiley","For-profit","hybrid","The Wildlife Society","Society","https://wildlife.onlinelibrary.wiley.com/journal/23285540?tabActivePane=undefined","1850","0.467","none"
"Ambio","ecology","Springer","For-profit","hybrid","Royal Swedish Academy of Sciences","Uni/Gov","https://www.springer.com/journal/13280","3190","1.77","none"
"Environmental Microbiology","ecology","Wiley","For-profit","hybrid","Applied Microbiology International","Society","https://sfamjournals.onlinelibrary.wiley.com/journal/14622920","3710","1.391","none"
